,zip,beds,baths,sq__ft,price
154,95762,4,3,0,600000
155,95762,4,3,0,606238
156,95864,3,3,2325,660000
157,95762,6,5,0,830000
158,95621,2,1,795,69000
159,95817,4,2,1099,70000
160,95624,2,1,840,71000
161,95815,2,1,800,78000
162,95824,2,1,746,78400
163,95822,3,1,1067,80000
164,95815,4,2,1316,89000
165,95815,3,1,1337,90000
166,95824,2,1,868,90000
167,95824,3,1,924,92000
168,95820,2,1,610,93675
169,95683,0,0,0,97750
170,95815,2,1,1220,98000
171,95758,1,1,722,98000
172,95864,3,1,1643,99000
173,95758,1,1,722,100000
174,95632,3,1,1080,106716
175,95820,3,1,1039,111000
176,95660,3,1,1051,111000
177,95842,2,2,967,114800
178,95670,3,1,1098,120108
179,95824,3,1,1050,123225
180,95838,3,2,1110,123750
181,95660,3,1,888,125000
182,95822,3,2,1120,125000
183,95626,3,2,1080,126000
184,95660,3,1,957,129000
185,95838,2,1,952,134000
186,95838,3,2,1211,135000
187,95815,3,2,1264,135500
188,95833,3,1,1080,140000
189,95632,3,2,1266,140000
190,95628,2,2,994,142500
191,95834,3,2,1202,143500
192,95758,0,0,0,145000
193,95820,2,1,722,145000
194,95828,4,2,1448,145000
195,95828,3,2,1188,145000
196,95660,4,2,1183,146000
197,95822,3,1,1320,148500
198,95828,3,2,1117,149000
199,95828,3,2,1364,150000
200,95823,4,2,1310,150000
201,95758,2,2,1006,152000
202,95621,3,2,1104,156000
203,95825,2,1,810,156000
204,95624,2,2,1123,156000
205,95842,2,1,904,157788
206,95621,3,2,1156,161653
207,95820,2,1,1321,161829
208,95843,3,2,1392,165000
209,95823,3,2,1439,168000
210,95842,3,2,1159,169000
211,95670,3,2,1671,175000
212,95823,3,2,1740,176250
213,95823,3,2,1265,179000
214,95843,2,2,1007,180000
215,95758,3,2,1716,180400
216,95758,4,2,1685,182000
217,95670,4,2,1829,184500
218,95758,3,2,1555,185000
219,95608,4,2,1120,189000
220,95621,3,2,1137,194000
221,95826,3,1,1174,195000
222,95843,3,2,1393,200000
223,95682,3,1,0,201000
224,95648,4,2,0,202500
225,95828,3,2,1289,205000
226,95838,4,2,1799,205000
227,95667,3,2,0,205000
228,95823,4,3,1953,205000
229,95820,2,1,723,207000
230,95682,2,2,0,210000
231,95667,2,1,948,211500
232,95621,4,2,1578,215000
233,95610,3,2,1317,215000
234,95833,0,0,0,215500
235,95824,3,1,1360,222381
236,95825,0,0,0,225000
237,95833,3,2,1522,225000
238,95825,4,2,1751,225000
239,95624,3,2,1465,225000
240,95826,4,2,1605,228000
241,95673,4,2,1475,229665
242,95722,3,1,1216,230000
243,95628,2,2,1315,230000
244,95757,3,2,1567,230000
245,95835,3,2,1776,234000
246,95835,3,2,2187,235000
247,95822,3,1,1291,236250
248,95630,0,0,0,240000
249,95624,0,0,0,242000
250,95842,3,2,1503,245000
251,95828,4,3,2491,245000
252,95816,2,1,1269,245000
253,95835,0,0,0,250000
254,95662,3,2,1176,250000
255,95662,4,2,1456,250000
256,95678,3,2,1498,250000
257,95843,3,2,1574,255000
258,95610,5,4,2085,256054
259,95829,3,2,2170,257729
260,95758,4,2,1595,260000
261,95843,3,2,1567,261000
262,95648,4,2,0,261800
263,95822,4,2,1253,264469
264,95843,4,3,1768,265000
265,95835,0,0,0,270000
266,95835,4,3,2030,270000
267,95835,3,2,1531,270000
268,95834,0,0,0,270000
269,95624,4,3,1653,275000
270,95758,4,2,2056,275000
271,95624,4,3,2494,280000
272,95628,3,2,1450,286013
273,95834,4,2,2169,292000
274,95747,3,2,1440,292000
275,95628,3,2,1527,293993
276,95678,3,2,1401,294000
277,95838,3,2,1411,296769
278,95648,4,4,0,297500
279,95670,0,0,0,300000
280,95673,3,1,1284,300000
281,95632,4,3,2307,300000
282,95667,3,2,1329,300000
283,95835,4,2,1910,300500
284,95670,3,2,1981,305000
285,95747,0,0,0,306500
286,95835,0,0,0,312500
287,95648,5,3,0,315000
288,95823,4,2,2205,319789
289,95648,2,2,1449,330000
290,95630,3,2,1258,330000
291,95757,3,2,2575,331000
292,95820,2,1,539,334000
293,95670,4,3,2208,336000
294,95819,3,1,1108,339000
295,95630,4,2,1595,339000
296,95632,4,2,2159,345000
297,95667,4,3,2295,350000
298,95678,3,2,1838,356000
299,95823,4,2,1900,361745
300,95811,4,2,1718,361948
301,95757,5,3,3389,370000
302,95677,4,2,0,380000
303,95757,5,4,3260,385000
304,95682,3,2,2016,399000
305,95765,4,2,2607,402000
306,95757,4,3,2724,406026
307,95632,5,4,3746,420000
308,95742,0,0,0,425000
309,95683,4,2,3192,425000
310,95834,0,0,0,433500
311,95648,4,3,0,436746
312,95762,5,3,0,438700
313,95811,2,1,1247,445000
314,95630,4,2,2581,450000
315,95841,3,1,2068,460000
316,95762,3,2,0,460000
317,95624,4,3,3992,460000
318,95835,4,4,3397,465000
319,95835,5,3,3881,471750
320,95765,5,3,0,480000
321,95608,2,2,1598,484000
322,95667,4,3,1929,485000
323,95757,4,3,3070,495000
324,95678,0,0,0,500500
325,95603,3,3,0,504000
326,95762,0,0,0,541000
327,95693,0,0,0,560000
328,95829,5,3,3984,572500
329,95608,4,2,2222,582000
330,95661,4,3,3838,613401
331,95747,4,2,0,614000
332,95628,5,5,2846,680000
333,95819,5,2,2484,699000
334,95650,4,4,1624,839000
335,95842,2,1,840,40000
336,95825,1,1,484,48000
337,95815,3,1,970,61500
338,95817,2,1,623,62050
339,95820,2,1,932,65000
340,95838,2,1,796,65000
341,95820,2,1,834,68000
342,95820,2,1,834,68000
343,95841,2,1,924,77000
344,95842,2,1,795,82732
345,95838,3,1,1250,84000
346,95820,2,1,984,84675
347,95828,3,1,1013,85000
348,95822,3,1,1012,90000
349,95826,2,1,795,90000
350,95838,2,2,918,91000
351,95838,3,1,1082,95000
352,95842,2,1,964,97500
353,95815,4,2,1404,100000
354,95826,1,1,625,100000
355,95621,2,1,888,101000
356,95815,4,2,1120,102750
357,95660,3,1,1331,112500
358,95821,3,1,1014,113000
359,95820,4,2,1448,114000
360,95838,3,1,966,114000
361,95823,2,1,779,114750
362,95843,2,2,836,115000
363,95678,2,2,1100,115000
364,95832,3,1,1174,116100
365,95660,3,2,1207,119250
366,95828,4,4,1995,120000
367,95820,2,1,804,120000
368,95834,2,2,958,120000
369,95823,3,2,1366,120108
370,95823,2,2,901,121500
371,95815,3,1,696,121725
372,95632,3,2,1080,122000
373,95822,3,2,1104,123000
374,95825,2,1,972,125000
375,95833,4,2,1390,125573
376,95626,4,2,1354,126714
377,95826,2,1,795,126960
378,95678,2,1,780,127000
379,95828,4,2,1587,127500
380,95660,3,2,1209,130000
381,95824,2,1,1139,133105
382,95673,2,2,1690,136500
383,95608,3,2,1245,139500
384,95626,3,2,1416,140000
385,95832,3,2,1300,140800
386,95822,3,2,1120,145000
387,95828,4,2,1590,147000
388,95828,3,2,1407,149600
389,95820,5,2,1516,150000
390,95747,2,2,0,150000
391,95822,3,2,1646,150000
392,95823,3,2,1676,155000
393,95838,3,2,1370,155435
394,95838,3,2,1370,155500
395,95621,4,2,1351,158000
396,95660,3,2,1152,158000
397,95823,3,2,1452,160000
398,95678,2,1,990,160000
399,95621,2,2,1162,164000
400,95673,3,2,1182,164000
401,95758,2,2,1112,165000
402,95632,3,2,1100,167000
403,95621,4,2,1280,167293
404,95621,4,2,1280,167293
405,95820,3,1,1039,168000
406,95842,3,2,1159,170000
407,95833,4,2,1917,170000
408,95827,3,2,1520,170000
409,95632,3,2,1204,174000
410,95841,3,2,1120,178000
411,95823,3,2,1436,180000
412,95826,3,2,1451,180000
413,95828,4,2,1638,180000
414,95608,2,2,1000,182000
415,95661,3,1,1152,188325
416,95747,3,2,1154,191500
417,95838,3,2,1353,192000
418,95621,3,2,1329,192700
419,95826,3,1,1356,195000
420,95838,3,2,1505,197654
421,95842,3,1,1009,198000
422,95823,3,2,1144,200345
423,95864,2,1,930,203000
424,95841,4,2,1766,207000
425,95828,4,3,1940,208000
426,95758,4,2,1776,210000
427,95621,3,1,1258,212000
428,95828,4,2,1872,213675
429,95758,2,2,1112,213697
430,95833,4,2,1856,215000
431,95816,4,3,1939,215000
432,95678,3,1,998,215100
433,95678,3,2,1758,217500
434,95838,3,2,2142,218000
435,95831,2,1,950,220000
436,95758,4,3,1739,221000
437,95624,3,2,1516,222900
438,95843,3,1,988,223139
439,95632,4,2,1555,225500
440,95820,3,2,1212,228327
441,95833,4,2,1871,230000
442,95828,3,2,1302,230000
443,95841,2,1,756,230522
444,95843,4,3,2026,231200
445,95831,3,2,1375,232000
446,95834,2,2,1250,232500
447,95822,3,1,1058,233641
448,95843,3,2,1187,234000
449,95831,2,2,1324,234500
450,95828,4,3,1936,235000
451,95670,5,4,2382,236000
452,95630,3,2,1427,236073
453,95835,3,2,1678,238000
454,95632,4,2,1798,238861
455,95843,4,3,2652,239700
456,95829,4,2,1816,240000
457,95834,5,3,3076,240000
458,95758,4,2,1844,241000
459,95823,3,2,1306,245000
460,95833,4,3,2447,246000
461,95828,4,2,1176,247234
462,95673,4,2,1182,247480
463,95673,3,1,1160,249862
464,95835,3,2,1424,251000
465,95662,4,2,1574,252155
466,95843,3,2,1830,254172
467,95624,4,2,1724,258000
468,95603,2,2,1255,260000
469,95758,0,0,0,261000
470,95835,4,3,2175,261000
471,95835,4,2,1904,261000
472,95762,4,2,1808,262500
473,95742,4,2,2711,266000
474,95608,3,1,1713,266000
475,95757,3,2,1457,270000
476,95757,4,3,2724,274425
477,95765,0,0,0,274500
478,95828,3,2,1468,275336
479,95835,4,3,2550,277980
480,95632,4,2,1928,280000
481,95814,3,3,1922,284686
482,95621,3,2,1343,284893
483,95677,3,2,1510,285000
484,95603,2,2,960,285000
485,95608,4,2,1559,285000
486,95623,3,2,1624,289000
487,95832,5,3,2992,295000
488,95758,4,2,2109,296000
489,95670,4,2,1524,296056
490,95828,3,2,1248,297359
491,95823,4,2,1876,299940
492,95648,5,3,0,304000
493,95670,4,3,1851,305000
494,95747,0,0,0,307000
495,95835,4,2,2218,311328
496,95828,3,2,1394,313138
497,95828,3,2,1410,316630
498,95758,5,3,3468,320000
499,95843,5,3,2346,320000
500,95843,5,3,2347,325000
501,95834,4,2,1659,328578
502,95757,3,3,2442,331000
503,95742,0,0,0,331500
504,95833,4,2,2155,340000
505,95838,0,0,0,344755
506,95828,3,2,1810,345746
507,95757,4,2,2789,351000
508,95632,4,2,1606,353767
509,95632,0,0,0,355000
510,95835,4,2,2166,356035
511,95816,0,0,0,360000
512,95835,4,2,1871,360552
513,95835,3,2,1800,362305
514,95817,3,1,1683,365000
515,95678,3,2,0,367554
516,95747,0,0,0,368500
517,95765,2,2,1596,370000
518,95667,4,2,0,371086
519,95757,3,2,1179,378000
520,95757,0,0,0,383000
521,95818,3,1,1639,388000
522,95742,5,3,3281,395100
523,95819,3,2,1697,400000
524,95762,3,2,0,400000
525,95843,4,3,2085,408431
526,95765,0,0,0,413000
527,95815,4,2,1744,416767
528,95762,4,3,0,420000
529,95630,4,3,1939,423000
530,95682,4,2,0,423000
531,95814,2,3,1788,427500
532,95765,3,2,1691,430922
533,95758,4,2,2002,445000
534,95757,4,4,4303,450000
535,95834,5,3,4246,452000
536,95661,3,2,2274,470000
537,95762,4,3,0,471000
538,95662,4,4,3056,475000
539,95758,3,3,2503,484500
540,95762,5,3,0,487500
541,95677,3,3,0,488750
542,95630,3,2,1905,500000
543,95663,3,2,1320,506688
544,95648,2,2,0,512000
545,95747,5,3,0,520000
546,95670,4,2,3037,528000
547,95693,5,2,3741,579093
548,95630,4,3,2660,636000
549,95608,4,3,3357,668365
550,95746,5,3,2896,676200
551,95667,3,2,2025,677048
552,95693,5,3,3788,691659
553,95746,5,3,3670,760000
554,95648,0,0,0,4897
555,95648,0,0,0,4897
556,95648,0,0,0,4897
557,95648,0,0,0,4897
558,95648,0,0,0,4897
559,95648,0,0,0,4897
560,95648,0,0,0,4897
561,95648,0,0,0,4897
562,95648,0,0,0,4897
563,95648,0,0,0,4897
564,95648,0,0,0,4897
565,95648,0,0,0,4897
566,95648,0,0,0,4897
567,95648,0,0,0,4897
568,95648,0,0,0,4897
569,95648,0,0,0,4897
570,95648,0,0,0,4897
571,95648,0,0,0,4897
572,95648,0,0,0,4897
573,95648,0,0,0,4897
574,95648,0,0,0,4897
575,95648,0,0,0,4897
576,95648,0,0,0,4897
577,95648,0,0,0,4897
578,95648,0,0,0,4897
579,95648,4,2,0,4897
580,95648,3,2,0,4897
581,95648,3,2,0,4897
582,95648,0,0,0,4897
583,95648,0,0,0,4897
584,95648,0,0,0,4897
585,95648,0,0,0,4897
586,95648,0,0,0,4897
587,95648,0,0,0,4897
588,95648,0,0,0,4897
589,95648,0,0,0,4897
590,95648,0,0,0,4897
591,95648,0,0,0,4897
592,95648,0,0,0,4897
593,95648,0,0,0,4897
594,95648,0,0,0,4897
595,95648,0,0,0,4897
596,95648,0,0,0,4897
597,95648,0,0,0,4897
598,95648,0,0,0,4897
599,95648,0,0,0,4897
600,95648,0,0,0,4897
601,95648,0,0,0,4897
602,95648,0,0,0,4897
603,95621,3,2,1166,30000
604,95673,0,0,0,30000
605,95823,2,1,838,55422
606,95660,2,1,904,63000
607,95815,2,1,1032,65000
608,95838,2,1,904,65000
609,95817,2,1,1080,65000
610,95822,2,2,990,66500
611,95838,2,1,900,71000
612,95824,2,1,861,75000
613,95823,2,1,906,77000
614,95815,2,1,1011,85000
615,95823,3,2,1089,95625
616,95815,2,1,832,96140
617,95822,2,1,800,104250
618,95842,4,2,1292,105000
619,95822,2,1,810,108000
620,95838,4,2,1064,109000
621,95670,2,1,911,115000
622,95835,1,1,846,115000
623,95827,3,2,1320,115500
624,95838,3,2,1410,115620
625,95670,3,2,1115,116000
626,95822,3,2,1169,122000
627,95822,3,2,1164,122500
628,95823,4,2,1341,123000
629,95838,3,2,1219,124000
630,95842,4,2,1127,124000
631,95660,3,2,1272,124413
632,95822,4,2,1253,125000
633,95828,3,2,1120,130000
634,95660,2,2,1118,131750
635,95838,4,3,1890,137721
636,95833,3,2,1260,137760
637,95823,3,2,1400,138000
638,95821,3,1,1264,140000
639,95824,3,1,1060,145000
640,95828,2,2,1132,145000
641,95823,3,2,1466,150000
642,95827,3,2,1092,150000
643,95828,4,2,1628,151000
644,95842,3,2,960,155000
645,95621,3,2,1075,155800
646,95826,3,2,1428,156142
647,95828,4,2,1358,158000
648,95828,6,4,2475,159900
649,95610,3,2,1410,160000
650,95843,3,2,1711,161500
651,95826,4,2,1483,161600
652,95632,3,2,1140,162000
653,95828,4,2,1549,165000
654,95828,3,2,1410,165000
655,95758,3,2,1240,167293
656,95842,5,2,1712,168000
657,95823,4,2,1580,168000
658,95843,3,2,1669,168750
659,95826,3,1,1029,168750
660,95621,3,1,1103,170000
661,95828,3,2,2161,170250
662,95823,3,2,1650,173000
663,95726,3,1,1320,175000
664,95826,3,2,1200,176095
665,95835,3,2,1170,176250
666,95621,3,2,1199,178000
667,95823,4,2,1695,179000
668,95670,3,2,1157,180000
669,95838,3,2,1410,180000
670,95678,3,2,1174,180000
671,95823,3,2,1593,181000
672,95673,3,2,1093,182000
673,95678,3,2,1770,182587
674,95822,4,2,1436,185074
675,95829,3,2,1124,185833
676,95826,4,2,1139,186785
677,95832,3,2,1638,187000
678,95833,3,2,1328,188335
679,95758,3,2,1273,190000
680,95838,3,1,1082,190000
681,95827,4,2,1578,190000
682,95661,2,1,796,190000
683,95823,3,2,1386,191250
684,95670,3,2,1452,193000
685,95823,3,2,1513,193500
686,95631,0,0,0,194818
687,95842,4,2,1578,195000
688,95610,4,3,1736,195000
689,95682,2,2,0,195000
690,95821,3,1,1473,195000
691,95820,3,1,1150,198000
692,95833,3,2,1127,199900
693,95628,3,1,1144,200000
694,95608,3,1,972,201000
695,95758,4,2,2306,204918
696,95843,3,2,1479,205000
697,95623,2,1,1040,205000
698,95838,3,2,1430,205878
699,95832,4,2,1800,207000
700,95843,4,2,1953,207744
701,95835,3,2,1120,209000
702,95834,3,2,1232,210000
703,95835,1,1,-984,-210944
704,95678,3,2,0,212500
705,95758,4,2,2329,213750
706,95758,3,2,1351,215000
707,95682,2,2,0,215000
708,95661,4,1,1376,215000
709,95619,3,2,1300,216033
710,95825,4,2,1566,220000
711,95817,2,1,1115,220000
712,95818,2,1,1032,220000
713,95621,4,2,1419,220000
714,95757,3,2,1261,220000
715,95608,2,2,1637,220702
716,95825,4,2,1776,221250
717,95758,3,2,1338,222000
718,95757,0,0,0,222500
719,95624,5,2,2254,222750
720,95834,3,2,1441,225000
721,95838,4,2,1991,225000
722,95829,4,3,2126,228750
723,95624,3,2,1094,229000
724,95677,3,2,1462,230095
725,95834,5,3,2258,232500
726,95670,3,2,1074,233000
727,95624,4,2,2111,233500
728,95835,3,2,1686,239000
729,95843,4,3,1915,240000
730,95624,4,2,2367,240000
731,95823,3,2,1962,240971
732,95670,2,2,1406,242000
733,95829,3,2,1789,243450
734,95835,4,2,1876,243500
735,95843,3,2,1235,246544
736,95843,4,2,2504,246750
737,95834,0,0,0,247000
738,95608,3,2,1676,247000
739,95621,3,2,1367,249000
740,95758,4,3,1899,249000
741,95758,3,2,1636,250000
742,95821,3,2,1828,250000
743,95765,0,0,0,250000
744,95826,4,2,1438,252000
745,95624,3,2,1451,255000
746,95825,3,1,1520,255000
747,95747,3,2,1506,255000
748,95835,4,2,2605,257200
749,95662,3,2,1196,260000
750,95648,3,2,1621,260000
751,95835,3,2,1811,263500
752,95757,3,2,1540,266510
753,95648,4,2,0,267750
754,95667,0,0,0,270000
755,95747,0,0,0,271000
756,95762,4,2,0,272700
757,95682,0,0,0,275000
758,95757,3,2,1543,275000
759,95835,5,3,2494,276000
760,95648,3,2,1650,276500
761,95632,4,3,2214,278000
762,95835,5,3,2280,279000
763,95608,3,2,1443,280000
764,95621,4,2,1582,280000
765,95757,3,2,1857,285000
766,95758,3,2,1735,288000
767,95624,4,3,2096,289000
768,95825,3,2,1720,290000
769,95843,4,2,2160,290000
770,95838,4,2,1382,293996
771,95667,3,2,0,294000
772,95624,4,2,1721,294173
773,95650,4,2,1328,295000
774,95624,0,0,0,298000
775,95624,4,2,1982,298000
776,95818,2,1,1144,299000
777,95825,2,2,1623,300000
778,95614,3,2,1457,300000
779,95624,6,3,2555,300000
780,95765,3,2,1577,300567
781,95757,5,3,2592,303000
782,95610,3,2,1401,305000
783,95648,4,2,0,306000
784,95608,3,2,1502,310000
785,95630,3,2,1327,310000
786,95678,4,3,1800,310000
787,95831,4,2,2169,311518
788,95648,5,3,2457,312000
789,95742,0,0,0,313000
790,95662,4,2,2004,315000
791,95678,4,3,2212,315000
792,95843,5,3,3134,315000
793,95864,3,2,1360,315000
794,95765,4,2,0,315000
795,95822,3,2,1276,320000
796,95834,4,3,2962,322000
797,95765,4,2,1888,325000
798,95747,0,0,0,325500
799,95678,3,2,0,326951
800,95632,3,2,1548,328370
801,95648,2,2,0,330000
802,95670,4,3,2109,330000
803,95827,4,2,2484,331200
804,95834,4,3,2258,332000
805,95835,3,3,2212,334000
806,95662,3,2,1616,335000
807,95835,4,2,2372,341000
808,95765,5,3,2606,346375
809,95678,5,3,0,347225
810,95757,5,3,2877,349000
811,95843,3,2,2960,350000
812,95648,2,2,0,350000
813,95678,3,2,2172,350000
814,95678,3,2,2100,350000
815,95831,3,2,1795,351000
816,95762,3,2,0,356200
817,95661,4,2,2295,360000
818,95747,4,3,2577,367463
819,95747,0,0,0,375000
820,95690,3,1,1727,380000
821,95758,3,2,1485,380578
822,95608,3,2,1655,386222
823,95648,0,0,0,389000
824,95742,0,0,0,390000
825,95661,3,2,2049,395500
826,95742,0,0,0,396000
827,95757,5,3,2875,397000
828,95648,0,0,0,400000
829,95762,4,2,2199,400000
830,95747,4,3,0,412500
831,95818,2,1,1304,413500
832,95608,3,2,2334,415000
833,95603,4,3,2278,420454
834,95819,3,1,1493,425000
835,95682,3,2,0,425000
836,95648,0,0,0,433500
837,95747,5,3,0,438000
838,95630,5,3,2787,441000
839,95831,5,3,2824,445000
840,95630,4,3,3261,446000
841,95821,4,2,2053,450000
842,95661,4,3,2379,455000
843,95762,3,2,0,460000
844,95667,3,2,0,475000
845,95633,3,2,0,490000
846,95762,4,2,0,493000
847,95762,5,4,0,508000
848,95747,0,0,0,511000
849,95628,3,2,3173,525000
850,95762,4,3,0,533000
851,95864,3,1,1348,545000
852,95603,4,3,0,560000
853,95816,2,1,1252,575000
854,95630,4,3,3229,575000
855,95829,5,4,3863,598695
856,95747,5,3,0,600000
857,95677,4,3,0,600000
858,95746,4,3,2356,600000
859,95677,0,0,0,600000
860,95747,5,3,3579,610000
861,95762,0,0,0,622500
862,95762,0,0,0,680000
863,95762,4,3,0,879000
864,95693,4,3,4400,884790
865,95648,3,3,0,1551
866,95683,3,4,5822,2000
867,95828,4,2,1512,56950
868,95826,1,1,611,60000
869,95823,2,1,876,61000
870,95842,2,1,933,62000
871,95820,2,1,864,68566
872,95838,2,1,1011,70000
873,95815,4,2,1158,80000
874,95838,3,2,1092,85500
875,95833,2,1,956,92000
876,95824,2,2,1139,93600
877,95822,3,1,1058,95000
878,95838,3,2,1040,97750
879,95823,3,2,1354,104000
880,95660,3,1,1051,105000
881,95825,1,1,682,107666
882,95824,3,1,1161,109000
883,95838,3,1,1004,110000
884,95660,3,1,1229,110000
885,95832,3,2,1249,112500
886,95832,3,2,1161,114800
887,95823,3,1,1010,116000
888,95682,0,0,0,119000
889,95820,4,2,1462,121500
890,95828,3,2,1269,122000
891,95820,2,2,1188,123675
892,95838,4,2,1570,126854
893,95817,3,2,1093,127059
894,95828,3,1,962,128687
895,95823,3,2,1089,129500
896,95824,3,2,1127,130000
897,95822,4,2,1309,131750
898,95673,2,1,970,132000
899,95823,3,2,1144,134000
900,95670,3,1,1000,134000
901,95648,0,0,0,138000
902,95843,3,2,1206,142000
903,95825,3,1,1285,143012
904,95828,3,2,1543,145846
905,95691,2,1,884,147000
906,95817,3,1,1019,148750
907,95823,4,2,1392,150000
908,95842,2,1,924,150454
909,95823,3,2,1217,151087
910,95843,3,2,1670,157296
911,95832,3,2,1302,157500
912,95823,3,2,1488,160000
913,95660,3,2,1373,160000
914,95621,4,2,1381,161250
915,95823,3,2,1265,164000
916,95818,2,1,881,165000
917,95691,0,0,0,165000
918,95829,4,2,1608,165750
919,95621,3,1,1344,166000
920,95834,3,2,1202,169000
921,95648,3,2,1104,170000
922,95747,2,2,0,170000
923,95828,4,2,1859,170000
924,95832,3,2,1232,170000
925,95828,3,1,1638,170725
926,95831,2,2,1177,171750
927,95833,3,2,1582,172000
928,95823,2,2,904,173056
929,95758,3,2,1340,174000
930,95833,3,2,1204,174250
931,95624,4,2,1477,176850
932,95823,4,2,1497,179500
933,95628,3,1,960,185000
934,95648,0,0,0,188000
935,95834,3,2,1428,188700
936,95820,3,1,1039,189000
937,95628,3,1,1529,189000
938,95621,4,3,1892,189836
939,95838,4,2,1887,190000
940,95662,3,2,1294,191250
941,95832,3,2,1638,191675
942,95823,3,2,1677,195500
943,95621,3,1,1073,198000
944,95838,3,2,1231,200000
945,95758,3,2,1175,200000
946,95624,3,2,1416,200000
947,95691,0,0,0,200100
